Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
10000	7155
11000	7146
12000	7155
13000	7148
14000	7161
15000	7172
16000	7164
17000	7004
18000	7032
19000	6787
20000	6832
21000	5879
22000	5309
23000	5083
24000	5003
25000	4510
26000	4224
27000	3900
28000	3695
29000	6810
Numero di step eseguiti = 29247
Simulation 36
0	7147
1000	7191
2000	7182
3000	7186
4000	7183
5000	7171
6000	7164
7000	7160
8000	7132
9000	7135
10000	7130
11000	7124
12000	7133
13000	7099
14000	7074
15000	7095
16000	7089
17000	7156
18000	6744
19000	6705
20000	6296
21000	5950
22000	5988
23000	5136
24000	4932
25000	6009
26000	7167
27000	4109
28000	3942
29000	4191
30000	6088
Numero di step eseguiti = 30389
Simulation 37
0	7158
1000	7194
2000	7182
3000	7185
4000	7177
5000	7180
6000	7174
7000	7187
8000	7173
9000	7176
10000	7171
11000	7164
12000	7163
13000	7164
14000	7169
15000	7111
16000	7069
17000	6966
18000	6784
19000	6062
20000	5889
21000	5541
22000	4970
23000	4620
24000	4277
Numero di step eseguiti = 24385
Simulation 38
0	7163
1000	7193
2000	7190
3000	7184
4000	7176
5000	7179
6000	7176
7000	7175
8000	7172
9000	7158
10000	7156
11000	7153
12000	7152
13000	7139
14000	7130
15000	7172
16000	7158
17000	7153
18000	7163
19000	7173
20000	7093
21000	7126
22000	7123
23000	6898
24000	6920
25000	6418
26000	6132
27000	5587
28000	5547
29000	5006
30000	4459
31000	5213
32000	7199
33000	7186
34000	7199
35000	7199
36000	6386
37000	7198
38000	6869
39000	7199
40000	7185
41000	7199
42000	7198
Numero di step eseguiti = 42741
Simulation 39
0	7163
1000	7196
2000	7191
3000	7185
4000	7181
5000	7177
6000	7177
7000	7180
8000	7170
9000	7163
10000	7152
11000	7175
12000	7168
13000	7141
14000	7180
15000	7145
16000	7147
17000	7146
18000	6873
19000	6591
20000	6197
21000	5818
22000	5929
23000	5142
24000	5391
25000	4347
26000	4046
27000	5078
Numero di step eseguiti = 27843
Simulation 40
0	7168
1000	7192
2000	7182
3000	7181
4000	7180
5000	7172
6000	7169
7000	7163
8000	7164
9000	7158
10000	7165
11000	7154
12000	7151
13000	7176
14000	7162
15000	7169
16000	7169
17000	7142
18000	7091
19000	7170
20000	7032
21000	6966
22000	6760
23000	6537
24000	5768
25000	5536
26000	5740
27000	5452
28000	5205
29000	4721
30000	4317
31000	3788
32000	4311
33000	5475
Numero di step eseguiti = 33559
Simulation 41
0	7166
1000	7190
2000	7186
3000	7179
4000	7174
5000	7166
6000	7167
7000	7169
8000	7175
9000	7164
10000	7171
11000	7162
12000	7131
13000	7104
14000	7130
15000	7130
16000	7106
17000	7112
18000	7153
19000	7087
20000	7008
21000	7042
22000	5984
23000	5847
24000	4950
25000	4809
26000	4327
27000	3808
28000	3760
29000	3500
30000	3312
31000	3232
32000	2985
33000	2937
34000	3219
35000	3266
36000	4293
Numero di step eseguiti = 36474
Simulation 42
0	7149
1000	7191
2000	7187
3000	7185
4000	7179
5000	7176
6000	7171
7000	7161
8000	7174
9000	7164
10000	7175
11000	7164
12000	7173
13000	7167
14000	7171
15000	7156
16000	7092
17000	6977
18000	7037
19000	7160
20000	7105
21000	7177
22000	6851
23000	6823
24000	6539
25000	6204
26000	6077
27000	5283
28000	4738
29000	4317
30000	3830
31000	3172
32000	5417
Numero di step eseguiti = 32204
Simulation 43
0	7157
1000	7188
2000	7178
3000	7184
4000	7171
5000	7179
6000	7179
7000	7175
8000	7176
9000	7174
10000	7172
11000	7143
12000	7133
13000	7125
14000	7088
15000	7186
16000	7118
17000	7061
18000	7117
19000	6986
20000	6784
21000	6569
22000	6318
23000	5963
24000	5453
25000	5148
26000	3867
27000	3714
28000	4092
29000	3857
30000	3541
31000	2900
32000	2948
33000	2868
34000	3294
Numero di step eseguiti = 34686
Simulation 44
0	7162
1000	7186
2000	7186
3000	7179
