Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 0
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 100
Simulation 1
Numero di step eseguiti = 29353
Simulation 58
0	6985
1000	7097
2000	7078
3000	7048
4000	7044
5000	7060
6000	7016
7000	7024
8000	6955
9000	6979
10000	7023
11000	6857
12000	6677
13000	6331
14000	6216
15000	5188
16000	4493
17000	4186
18000	4061
19000	3477
20000	3699
21000	3249
22000	3029
23000	2666
24000	2461
25000	2406
26000	2343
27000	2501
28000	2832
Numero di step eseguiti = 28994
Simulation 59
0	6991
1000	7121
2000	7089
3000	7060
4000	7074
5000	7044
6000	7023
7000	6963
8000	6892
9000	6977
10000	6997
11000	6652
12000	6455
13000	5605
14000	5265
15000	4645
16000	4896
17000	5251
18000	5114
19000	7191
20000	3624
21000	3357
22000	3137
23000	3275
24000	6787
Numero di step eseguiti = 24026
Simulation 60
0	6984
1000	7079
2000	7083
3000	7040
4000	7070
5000	6994
6000	6939
7000	6893
8000	6704
9000	6484
10000	6299
11000	5911
12000	5747
13000	4591
14000	4212
15000	3586
16000	3148
17000	3192
18000	4760
Numero di step eseguiti = 18130
Simulation 61
0	6975
1000	7121
2000	7087
3000	7066
4000	7060
5000	7011
6000	6979
7000	6981
8000	7038
9000	7025
10000	6941
11000	6860
12000	6797
13000	6567
14000	6064
15000	5726
16000	5524
17000	4526
18000	4157
19000	3872
20000	3466
21000	2952
22000	2853
23000	2748
24000	4157
25000	4253
Numero di step eseguiti = 25974
Simulation 62
0	7001
1000	7108
2000	7096
3000	7076
4000	7051
5000	7014
6000	7003
7000	6958
8000	6969
9000	7021
10000	6901
11000	6796
12000	6598
13000	5658
14000	4947
15000	4609
16000	4107
17000	3526
18000	3626
19000	3101
20000	2690
21000	2927
Numero di step eseguiti = 21785
Simulation 63
0	6987
1000	7114
2000	7105
3000	7053
4000	7052
5000	7017
6000	6995
7000	6984
8000	6907
9000	6901
10000	6747
11000	6787
12000	6644
13000	5908
14000	5425
15000	5148
16000	4237
17000	3478
18000	3619
19000	3128
20000	3012
21000	2918
22000	2623
23000	2613
24000	2578
25000	2685
26000	2534
27000	4238
Numero di step eseguiti = 27246
Simulation 64
0	6970
1000	7127
2000	7095
3000	7079
4000	7078
5000	7075
6000	7039
7000	6963
8000	6975
9000	6929
10000	6859
11000	6570
12000	6215
13000	5800
14000	5680
15000	5444
16000	4724
17000	4262
18000	3281
19000	3344
20000	2953
21000	3430
22000	2795
23000	2877
24000	2542
Numero di step eseguiti = 24908
Simulation 65
0	6998
1000	7112
2000	7072
3000	7056
4000	7042
5000	6955
6000	6988
7000	6900
8000	6596
9000	6509
10000	6343
11000	5494
12000	4864
13000	4576
14000	4082
15000	3844
16000	3314
17000	3137
18000	3088
19000	3239
20000	7198
21000	6562
22000	7199
23000	7198
24000	7199
25000	7199
26000	7199
27000	7199
28000	7199
29000	7199
30000	6756
31000	7199
32000	7199
33000	7199
34000	7199
35000	7199
